355;służący;der;Diener;Diener;0;
356;praca/służba;der;Dienst;Dienste;0;
357;wtorek;der;Dienstag;Dienstage;0;
358;dyktowanie;das;Diktat;Diktate;0;
359;rzecz;das;Ding;Dinge;0;
360;praca dyplomowa;die;Diplomarbeit;;0;
361;dyskoteka;die;Disco;Diskos;0;
362;dyskusja;die;Diskussion;Diskussionen;0;
363;doktor;der;Doktor;Doktoren;0;
364;praca doktorska;die;Doktorarbeit;;0;
365;katedra;der;Dom;Dome;0;
366;grzmot;der;Donner;Donner;0;
367;czwartek;der;Donnerstag;Donnerstage;0;
368;wieś;die;Dorf;Dörfer;0;
369;mieszkaniec wsi;der;Dorfbewohner;;0;
370;puszka;die;Dose;Dosen;0;
371;jedna trzecia;das;Drittel;Drittel;0;
372;drogeria;die;Drogerie;Drogerien;0;
373;drukarka;der;Drucker;Drucker;0;
374;komunikat;die;Durchsage;Durchsagen;0;
375;średnia;der;Durchschnitt;Durchschnitte;0;
376;przeciętny wiek;das;Durchschnittsalter;;0;
377;połączenie bezpośrednie;die;Durchwahl;brak;0;
378;pragnienie;der;Durst;brak;0;
379;prysznic;die;Dusche;Duschen;0;
380;poziom;die;Ebene;Ebenen;0;
381;poziom;die;Ebene;Ebenen;0;
382;kąt;die;Ecke;Ecken;0;
383;żona;die;Ehefrau;Ehefrauen;0;
384;mąż;der;Ehemann;Ehemänner;0;
385;małżeństwo;das;Ehepaar;Ehepaare;0;
386;jajko;das;Ei;Eier;0;
387;produkcja własna;die;Eigenproduktion;;0;
388;odpowiedzialnośc osobista;die;Eigenverantwortung;;0;
389;pośpiech;die;Eile;brak;0;
390;wklęśnięcie;die;Einbuchtung;;0;
391;wrażenie;der;Eindruck;;0;
392;pomysł;der;Einfall;Einfälle;0;
393;wprowadzenie;die;Einführung;Einführungen;0;
394;wejście;der;Eingang;Eingänge;0;
395;jedność;die;Einheit;Einheiten;0;
396;zakup;der;Einkauf;Einkäufe;0;
397;zaproszenie;die;Einladung;Einladungen;0;
398;rozpoczęcie;die;Einleitung;;0;
399;jednoosobowe gospodarstwo;der;Einpersonenhaushalt;;0;
400;umeblowanie;die;Einrichtung;Einrichtungen;0;
401;jedynka;die;Eins;Einsen;0;
402;użycie;der;Einsatz;;0;
403;przesyłka polecona;das;Einschreiben;Einschreiben;0;
404;rozpoczęcie pracy/debiut;der;Einstand;;0;
405;wpis;der;Eintrag;;0;
406;wstęp;der;Eintritt;brak;0;
407;pokój jednoosobowy;das;Einzelzimmer;Einzelzimmer;0;
408;lód;das;Eis;brak;0;
409;słoń;der;Elefant;Elefanten;0;
410;e-mail;die;E-mail;E-mails;0;
411;adresat;der;Empfänger;Empfänger;0;
412;koniec;das;Ende;brak;0;
413;energia;die;Energie;Energien;0;
414;zaangażowanie;das;Engagement;;0;
415;wnuczek;der;Enkel;Enkel;0;
416;wnuczka;die;Enkelin;Enkelinnen;0;
417;kaczka;die;Ente;Enten;0;
418;decyzja;die;Entscheidung;Entscheidungen;0;
419;przeprosiny;die;Entschuldigung;Entschuldigungen;0;
420;relaks;die;Entspannung;Entspannungen;0;
421;rozczarowanie;die;Enttäuschung;Enttäuschungen;0;
422;rozwój;die;Entwicklung;;0;
423;ziemia;die;Erde;Erden;0;
424;parter;das;Erdgeschoss;Erdgeschosse;0;
425;wydarzenie;das;Ereignis;Ereignisse;0;
426;doświdczenie;die;Erfahrung;Erfahrungen;0;
427;wynalazek;die;Erfindung;;0;
428;sukces;der;Erfolg;Erfolge;0;
429;realizacja;die;Erfüllung;;0;
430;uzupełnienie;die;Ergänzung;;0;
431;rezultat;das;Ergebnis;Ergebnisse;0;
